starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:50:46 2024	1717147246	0	999	999	993
Fri May 31 14:50:46 2024	1717147246	0	1001	1001	998
Fri May 31 14:50:43 2024	1717147243	0	1002	1002	1002
Fri May 31 14:50:42 2024	1717147242	0	1003	1003	1003
Fri May 31 14:50:46 2024	1717147246	0	1009	1009	1008
Fri May 31 14:50:42 2024	1717147242	0	1012	1012	1011
Fri May 31 14:50:44 2024	1717147244	0	1017	1017	1017
Fri May 31 14:50:40 2024	1717147240	0	1023	1023	922
Fri May 31 14:50:41 2024	1717147241	0	1025	1025	869
Fri May 31 14:50:39 2024	1717147239	0	1028	1028	1028
Fri May 31 14:50:43 2024	1717147243	0	1029	1029	1029
Fri May 31 14:50:40 2024	1717147240	0	1029	1029	1029
Fri May 31 14:50:44 2024	1717147244	0	1035	1036	1035
Fri May 31 14:50:43 2024	1717147243	0	1044	1044	1043
Fri May 31 14:50:45 2024	1717147245	0	1045	1046	1025
Fri May 31 14:50:40 2024	1717147240	0	1049	1049	843
Fri May 31 14:50:43 2024	1717147243	0	1050	1050	1049
Fri May 31 14:50:43 2024	1717147243	0	1051	1051	1044
Fri May 31 14:50:40 2024	1717147240	0	1056	1056	1055
Fri May 31 14:50:40 2024	1717147240	0	1056	1056	1055
Fri May 31 14:50:44 2024	1717147244	0	1060	1060	1044
Fri May 31 14:50:42 2024	1717147242	0	1063	1063	764
Fri May 31 14:50:43 2024	1717147243	0	1067	1067	1053
Fri May 31 14:50:40 2024	1717147240	0	1069	1069	1035
Fri May 31 14:50:43 2024	1717147243	0	1069	1069	1069
Fri May 31 14:50:39 2024	1717147239	0	1084	1084	1083
Fri May 31 14:50:42 2024	1717147242	0	1086	1086	1085
Fri May 31 14:50:43 2024	1717147243	0	1089	1089	1089
Fri May 31 14:50:43 2024	1717147243	0	1100	1100	1099
Fri May 31 14:50:41 2024	1717147241	0	1102	1102	1013
Fri May 31 14:50:41 2024	1717147241	0	1105	1105	1105
Fri May 31 14:50:46 2024	1717147246	0	1109	1109	919
Fri May 31 14:50:43 2024	1717147243	0	1110	1110	1110
Fri May 31 14:50:42 2024	1717147242	0	1111	1111	1110
Fri May 31 14:50:46 2024	1717147246	0	1121	1121	1121
Fri May 31 14:50:45 2024	1717147245	0	1125	1125	963
Fri May 31 14:50:40 2024	1717147240	0	1126	1126	668
Fri May 31 14:50:40 2024	1717147240	0	1131	1131	1130
Fri May 31 14:50:40 2024	1717147240	0	1145	1145	1144
Fri May 31 14:50:45 2024	1717147245	0	1146	1146	963
Fri May 31 14:50:46 2024	1717147246	0	1147	1147	1050
Fri May 31 14:50:41 2024	1717147241	0	1150	1150	1150
Fri May 31 14:50:42 2024	1717147242	0	1164	1164	1164
Fri May 31 14:50:40 2024	1717147240	0	1175	1175	1174
Fri May 31 14:50:40 2024	1717147240	0	1187	1187	1186
Fri May 31 14:50:40 2024	1717147240	0	1216	1216	729
Fri May 31 14:50:44 2024	1717147244	0	1233	1233	1232
Fri May 31 14:50:41 2024	1717147241	0	1276	1277	1202
Fri May 31 14:50:40 2024	1717147240	0	1280	1280	649
Fri May 31 14:50:40 2024	1717147240	0	1288	1288	1287
Fri May 31 14:50:42 2024	1717147242	0	1293	1294	1240
Fri May 31 14:50:40 2024	1717147240	0	1308	1308	1302
Fri May 31 14:50:40 2024	1717147240	0	1318	1318	1317
Fri May 31 14:50:40 2024	1717147240	0	1319	1319	1317
Fri May 31 14:50:43 2024	1717147243	0	1336	1336	1313
Fri May 31 14:50:40 2024	1717147240	0	1341	1341	1341
Fri May 31 14:50:40 2024	1717147240	0	1342	1342	1342
Fri May 31 14:50:41 2024	1717147241	0	1351	1351	1347
Fri May 31 14:50:40 2024	1717147240	0	1378	1378	1378
Fri May 31 14:50:40 2024	1717147240	0	1393	1393	1392
Fri May 31 14:50:40 2024	1717147240	0	1414	1414	1413
Fri May 31 14:50:41 2024	1717147241	0	1418	1418	1408
Fri May 31 14:50:41 2024	1717147241	0	1482	1482	1481
Fri May 31 14:50:40 2024	1717147240	0	1517	1518	1516
Fri May 31 14:50:43 2024	1717147243	0	1527	1527	1512
Fri May 31 14:50:40 2024	1717147240	0	1606	1606	1606
Fri May 31 14:50:40 2024	1717147240	0	1703	1703	1702
Fri May 31 14:50:40 2024	1717147240	0	2227	2227	2227
