starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:48:51 2024	1717147131	0	523	524	522
Fri May 31 14:48:50 2024	1717147130	0	524	524	523
Fri May 31 14:48:49 2024	1717147129	0	524	524	523
Fri May 31 14:48:47 2024	1717147127	0	525	525	524
Fri May 31 14:48:51 2024	1717147131	0	526	526	511
Fri May 31 14:48:45 2024	1717147125	0	526	526	526
Fri May 31 14:48:45 2024	1717147125	0	526	526	526
Fri May 31 14:48:44 2024	1717147124	1	525	527	517
Fri May 31 14:48:45 2024	1717147125	0	527	527	526
Fri May 31 14:48:44 2024	1717147124	2	525	527	510
Fri May 31 14:48:47 2024	1717147127	0	528	528	528
Fri May 31 14:48:45 2024	1717147125	0	529	529	317
Fri May 31 14:48:47 2024	1717147127	0	531	531	529
Fri May 31 14:48:49 2024	1717147129	0	531	531	462
Fri May 31 14:48:46 2024	1717147126	0	531	531	213
Fri May 31 14:48:45 2024	1717147125	0	531	531	531
Fri May 31 14:48:51 2024	1717147131	0	532	532	532
Fri May 31 14:48:50 2024	1717147130	0	534	534	474
Fri May 31 14:48:48 2024	1717147128	0	534	535	534
Fri May 31 14:48:46 2024	1717147126	0	535	535	225
Fri May 31 14:48:51 2024	1717147131	0	535	536	535
Fri May 31 14:48:50 2024	1717147130	0	536	536	485
Fri May 31 14:48:50 2024	1717147130	0	536	536	535
Fri May 31 14:48:47 2024	1717147127	0	536	536	535
Fri May 31 14:48:46 2024	1717147126	0	536	536	534
Fri May 31 14:48:48 2024	1717147128	0	536	536	536
Fri May 31 14:48:47 2024	1717147127	0	537	537	537
Fri May 31 14:48:46 2024	1717147126	0	538	538	538
Fri May 31 14:48:50 2024	1717147130	0	538	538	538
Fri May 31 14:48:51 2024	1717147131	0	539	539	539
Fri May 31 14:48:45 2024	1717147125	0	539	539	539
Fri May 31 14:48:46 2024	1717147126	0	539	539	539
Fri May 31 14:48:50 2024	1717147130	0	539	539	539
Fri May 31 14:48:48 2024	1717147128	0	540	540	539
Fri May 31 14:48:51 2024	1717147131	0	540	540	540
Fri May 31 14:48:45 2024	1717147125	0	540	540	540
Fri May 31 14:48:48 2024	1717147128	0	542	542	542
Fri May 31 14:48:44 2024	1717147124	2	541	543	336
Fri May 31 14:48:47 2024	1717147127	0	545	545	545
Fri May 31 14:48:52 2024	1717147132	0	545	545	545
Fri May 31 14:48:48 2024	1717147128	0	546	546	545
Fri May 31 14:48:48 2024	1717147128	0	546	546	545
Fri May 31 14:48:50 2024	1717147130	0	547	547	502
Fri May 31 14:48:45 2024	1717147125	0	547	547	546
Fri May 31 14:48:44 2024	1717147124	2	545	547	338
Fri May 31 14:48:49 2024	1717147129	0	548	548	548
Fri May 31 14:48:47 2024	1717147127	0	548	548	548
Fri May 31 14:48:46 2024	1717147126	0	549	549	548
Fri May 31 14:48:44 2024	1717147124	1	549	550	549
Fri May 31 14:48:49 2024	1717147129	0	550	550	449
Fri May 31 14:48:48 2024	1717147128	0	551	551	550
Fri May 31 14:48:49 2024	1717147129	0	551	551	551
Fri May 31 14:48:48 2024	1717147128	0	552	552	545
Fri May 31 14:48:45 2024	1717147125	0	552	552	482
Fri May 31 14:48:52 2024	1717147132	0	552	552	552
Fri May 31 14:48:51 2024	1717147131	0	552	552	552
Fri May 31 14:48:48 2024	1717147128	0	553	553	553
Fri May 31 14:48:51 2024	1717147131	0	554	555	554
Fri May 31 14:48:47 2024	1717147127	0	554	555	554
Fri May 31 14:48:50 2024	1717147130	0	555	555	554
Fri May 31 14:48:45 2024	1717147125	0	555	555	554
Fri May 31 14:48:47 2024	1717147127	0	555	555	553
Fri May 31 14:48:48 2024	1717147128	0	555	555	526
Fri May 31 14:48:49 2024	1717147129	0	556	556	555
Fri May 31 14:48:49 2024	1717147129	0	556	556	555
Fri May 31 14:48:50 2024	1717147130	0	556	556	436
Fri May 31 14:48:48 2024	1717147128	0	557	557	556
Fri May 31 14:48:49 2024	1717147129	0	557	557	557
Fri May 31 14:48:45 2024	1717147125	0	557	557	557
Fri May 31 14:48:50 2024	1717147130	0	558	558	507
Fri May 31 14:48:46 2024	1717147126	0	559	559	559
Fri May 31 14:48:48 2024	1717147128	0	561	561	561
Fri May 31 14:48:48 2024	1717147128	0	561	561	561
Fri May 31 14:48:45 2024	1717147125	0	562	562	538
Fri May 31 14:48:44 2024	1717147124	0	563	563	563
Fri May 31 14:48:46 2024	1717147126	0	564	564	563
Fri May 31 14:48:46 2024	1717147126	0	564	564	564
Fri May 31 14:48:46 2024	1717147126	0	566	566	565
Fri May 31 14:48:44 2024	1717147124	1	565	566	564
Fri May 31 14:48:49 2024	1717147129	0	567	567	566
Fri May 31 14:48:46 2024	1717147126	0	569	569	568
Fri May 31 14:48:47 2024	1717147127	0	572	572	571
Fri May 31 14:48:51 2024	1717147131	0	572	572	571
Fri May 31 14:48:44 2024	1717147124	1	571	572	570
Fri May 31 14:48:50 2024	1717147130	0	572	572	572
Fri May 31 14:48:51 2024	1717147131	0	573	573	572
Fri May 31 14:48:44 2024	1717147124	0	573	573	573
Fri May 31 14:48:47 2024	1717147127	0	574	574	573
Fri May 31 14:48:47 2024	1717147127	0	575	575	574
Fri May 31 14:48:47 2024	1717147127	0	575	575	574
Fri May 31 14:48:46 2024	1717147126	0	576	576	575
Fri May 31 14:48:48 2024	1717147128	0	576	576	571
Fri May 31 14:48:49 2024	1717147129	0	578	578	578
Fri May 31 14:48:47 2024	1717147127	0	580	580	361
Fri May 31 14:48:50 2024	1717147130	0	582	582	548
Fri May 31 14:48:46 2024	1717147126	0	585	585	579
Fri May 31 14:48:49 2024	1717147129	0	586	586	585
Fri May 31 14:48:48 2024	1717147128	0	587	587	586
Fri May 31 14:48:44 2024	1717147124	0	587	587	587
Fri May 31 14:48:47 2024	1717147127	0	588	588	588
Fri May 31 14:48:44 2024	1717147124	0	589	589	588
Fri May 31 14:48:46 2024	1717147126	0	589	589	589
Fri May 31 14:48:51 2024	1717147131	0	590	590	589
Fri May 31 14:48:49 2024	1717147129	0	590	590	590
Fri May 31 14:48:44 2024	1717147124	1	589	590	579
Fri May 31 14:48:50 2024	1717147130	0	590	591	590
Fri May 31 14:48:46 2024	1717147126	0	591	591	590
Fri May 31 14:48:44 2024	1717147124	2	589	591	588
Fri May 31 14:48:48 2024	1717147128	0	591	591	591
